node average_head average_energy_intensity 
IOU_GSM12 49.12427491446364 194.33637940646216 
IOU_GSM13 48.86901747637162 193.32657709545103 
IOU_GSM14 nan nan 
IOU_GSM15 51.62460221299266 204.22771226324915 
IOU_GSM2 45.1015878249916 178.4225680410155 
IOU_GSM3 142.3560245085535 563.1626001169637 
IOU_GSM4 nan nan 
IOU_GSM5 57.60235582757233 227.87579656503422 
IOU_GSM6 29.114650884762376 115.17800212786402 
IOU_GSM7 17.311753702060177 68.48556119134173 
IOU_GSM8 74.00873226347571 292.77967150842227 
IOU_GSM9 46.98126156477334 185.8585859708606 
IOU_GSR1 241.2270176844911 954.2977542864454 
IOU_GSR2 144.67192200208754 572.3243258575179 
IOU_GSR3 53.04820048939371 209.85948871688186 
IOU_GSR4 36.31083548903775 143.64621797370532 
IOU_PWC1 48.352974769067075 191.28510428936286 
IOU_PWC2 48.71239656838256 192.7069823991233 
IOU_PWC3 13.85633717808232 54.81588081885022 
IOU_PWC4 20.186827149422154 79.85939551787095 
IOU_PWC5 26.354546134584584 104.25898571762482 
IOU_PWC6 54.49774191912665 215.593896680042 
IOU_SGV1 50.57851914015021 200.08939170200793 
IOU_SGV2 30.69930223235883 121.446906982942 
IOU_SGV3 50.27328058054957 198.88186331341967 
IOU_SWS1 50.76432644553462 200.82444823075164 
IOU_SWS2 198.04099390289957 783.453186762766 
IOU_SWS3 79.10242212211547 312.93038613313854 
IOU_SWS4 44.70929996487358 176.8706712943829 
IOU_SWS5 105.84423966255518 418.7214234279639 
IRR_KIN1 -315.7450779375667 -1249.0923350754945 
IRR_KIN2 -185.2386828257229 -732.807049245096 
IRR_LAC1 79.04383731652261 312.69862375034563 
IRR_LAC2 221.41681238154771 875.9282805267582 
IRR_SMT 142.65479382104044 564.3445360654855 
MWC_180 57.243878638654095 226.45765534838577 
MWC_349 61.604057704779706 243.70659011129285 
MWC_ADR 64.78008600860414 256.27100643158263 
MWC_AMA 56.55041634225403 223.71430794688337 
MWC_BLS 52.88916240989583 209.2303316532674 
MWC_DEL 50.77800934480937 200.8785779885846 
MWC_HEM 47.6743806871833 188.60057577083376 
MWC_LAV 201.49829686026706 797.1303298944653 
MWC_LFL1 374.3577484889158 1480.9649520683454 
MWC_LFL2 8.73723136768172 34.5646203020476 
MWC_LFL3 37.96427621468564 150.1872546555719 
MWC_LFL4 84.30058798556563 333.4944094233782 
MWC_LYN 50.049512521403095 197.99663346489655 
MWC_MA1 nan nan 
MWC_MCR 286.62506983484326 1133.893139711821 
MWC_MON 148.64606056898464 588.0460785285782 
MWC_RUB 165.19585540205043 653.517318834475 
MWC_RUR 48.26685314552771 190.9444058355661 
MWC_SSL1 82.29032580299985 325.5417816258625 
MWC_SSL2 55.74127984702163 220.51335165383074 
MWC_STG 48.06625663059226 190.15084296869452 
MWC_VHT 302.9300153368205 1198.39575233646 
MWC_VVW 41.39707559739391 163.76746127288823 
MWC_VWC 174.25889858414996 689.3708556343652 
MWC_WPK 71.18013058660621 281.58968021342565 
MWD_LVR1 390.45523280463493 1544.6468450818563 
MWD_LVR2 178.29641261633174 705.3433226108897 
MWD_LVR3 222.11199567681993 878.6784362259984 
MWS_BHG 60.80466437128822 240.5441779144126 
PRK_FBP 168.29869159561107 665.7921860523189 
